"UTC","DP","Dta","RF","RH","SR","Sx","T"
2016-07-01 13:00:00,5.8,124,0,84.2,15,0,8.36
2016-07-01 13:10:00,5.8,143,0,85.4,16,0,8.16
2016-07-01 13:20:00,5.8,143,0,86.3,14,3,7.99
2016-07-01 13:30:00,5.7,143,0,87,16,4,7.79
2016-07-01 13:40:00,5.7,143,0,87.6,15,3,7.63
2016-07-01 13:50:00,6.1,140,0,88.4,12,4,7.96
2016-07-01 14:00:00,6.2,124,0,87.8,12,4,8.16
2016-07-01 14:10:00,5.9,112,0,86.3,19,4,8.05
2016-07-01 14:20:00,5.6,111,0,84.8,21,4,8.05
2016-07-01 14:30:00,5,111,0,84.2,26,3,7.59
2016-07-01 14:40:00,5.1,111,0,85.3,11,2,7.44
2016-07-01 14:50:00,5.1,127,0,86.9,26,4,7.15
2016-07-01 15:00:00,5.1,141,0,87.7,18,4,7.06
2016-07-01 15:10:00,4.9,141,0,88.4,22,4,6.77
2016-07-01 15:20:00,5,144,0,89.3,5,3,6.72
2016-07-01 15:30:00,5.4,144,0,89.9,27,4,7.03
2016-07-01 15:40:00,5.3,137,0,89.1,17,4,7.02
2016-07-01 15:50:00,5.8,134,0,88.3,17,4,7.62
2016-07-01 16:00:00,5.4,138,0,86.3,14,4,7.54
2016-07-01 16:10:00,4.9,145,0,86.1,27,4,7.15
2016-07-01 16:20:00,4.8,153,0,86.8,27,5,6.88
2016-07-01 16:30:00,4.7,161,0,87.8,26,4,6.68
2016-07-01 16:40:00,5.2,152,0,89.2,22,5,6.92
2016-07-01 16:50:00,5.7,150,0,89.4,24,4,7.37
2016-07-01 17:00:00,5.8,146,0,87.1,17,5,7.89
2016-07-01 17:10:00,5.3,147,0,85.2,18,4,7.66
2016-07-01 17:20:00,4.8,147,0,84.9,17,4,7.24
2016-07-01 17:30:00,4.6,150,0,85.6,15,4,6.9
2016-07-01 17:40:00,5,150,0,87,13,4,7.04
2016-07-01 17:50:00,5.4,145,0,87.2,14,4,7.41
2016-07-01 18:00:00,5.2,141,0,86.2,21,4,7.42
2016-07-01 18:10:00,5.3,141,0,86.1,25,4,7.47
2016-07-01 18:20:00,5.1,138,0,85.6,16,4,7.43
2016-07-01 18:30:00,5.2,131,0,85.6,27,4,7.52
2016-07-01 18:40:00,4.9,134,0,85.8,23,4,7.16
2016-07-01 18:50:00,5.3,139,0,86.7,17,5,7.43
2016-07-01 19:00:00,4.7,147,0,86.6,17,4,6.87
2016-07-01 19:10:00,4.7,152,0,87.2,8,4,6.72
2016-07-01 19:20:00,4.9,146,0,88.6,13,5,6.68
2016-07-01 19:30:00,5.7,143,0,89.8,21,4,7.28
2016-07-01 19:40:00,5.8,127,0,88.7,17,5,7.58
2016-07-01 19:50:00,5.6,119,0,87.3,18,5,7.59
2016-07-01 20:00:00,5.6,118,0,86.5,17,5,7.72
2016-07-01 20:10:00,5.4,115,0,85.6,20,5,7.66
2016-07-01 20:20:00,5.2,133,0,85.5,19,4,7.5
2016-07-01 20:30:00,5.2,136,0,85.8,14,4,7.51
2016-07-01 20:40:00,5.3,132,0,85.9,19,4,7.53
2016-07-01 20:50:00,5.1,137,0,85.9,19,4,7.38
2016-07-01 21:00:00,5.7,141,0,86,9,5,7.92
2016-07-01 21:10:00,5.6,134,0,85.1,17,4,7.95
2016-07-01 21:20:00,5.5,133,0,84.6,17,4,7.99
2016-07-01 21:30:00,5.5,129,0,84.5,23,4,8.0
2016-07-01 21:40:00,5.4,128,0,84.5,16,5,7.87
2016-07-01 21:50:00,5.5,130,0,84.8,22,4,7.89
2016-07-01 22:00:00,5.1,132,0,85.7,12,4,7.39
2016-07-01 22:10:00,5.3,141,0,86.5,14,4,7.49
2016-07-01 22:20:00,5.2,142,0,86.6,25,4,7.34
2016-07-01 22:30:00,5.2,144,0,86.9,9,4,7.32
2016-07-01 22:40:00,5.2,148,0,87.6,23,4,7.17
2016-07-01 22:50:00,5.6,148,0,88.3,22,5,7.5
2016-07-01 23:00:00,5.9,138,0,87.2,20,5,7.92
2016-07-01 23:10:00,5.1,156,0,86.2,2,5,7.28
2016-07-01 23:20:00,4.8,164,0,87.1,24,4,6.87
2016-07-01 23:30:00,4.9,158,0,88.3,29,4,6.69
2016-07-01 23:40:00,5.1,160,0,89.9,40,3,6.64
2016-07-01 23:50:00,5.5,162,0,91.3,64,4,6.86
